date,name,hit_rate,false_alarm_rate
180313,Auden,1.0,0.0
180313,Bartolo,0.15,0.0
180313,Charles,1.0,0.0
180313,Dorian,0.425,0.4
180313,Elliott,0.425,0.4083333333333333
180313,Frodo,0.4,0.3333333333333333
180314,Bartolo,0.925,0.0
180314,Charles,1.0,0.0
180314,Frodo,0.18333333333333332,0.1
180315,Auden,0.8916666666666667,0.0
180315,Bartolo,0.9125,0.0
180315,Charles,1.0,0.0
180315,Dorian,0.4875,0.5125
180315,Elliott,0.55,0.3875
180315,Frodo,0.0,0.0
180318,Auden,1.0,0.0
180318,Bartolo,0.7625,0.0
180318,Charles,1.0,0.0
180318,Dorian,0.475,0.4875
180318,Elliott,0.625,0.375
180318,Frodo,0.3625,0.2875
180320,Auden,0.0,0.0
180320,Bartolo,0.275,0.25
180320,Charles,0.55,0.45
180320,Dorian,0.5,0.5
180320,Elliott,0.2875,0.3
180320,Frodo,0.175,0.325
